번호,정책번호,분류,정책명,내용길이,정책내용,요약,input,output
70,20250716005400211297,복지문화,울산웹툰캠퍼스 운영,202,"웹툰 작가 등단을 위한 작품 제작 지원, 교육 및 멘토링",울산 지역 웹툰 작가 지망생과 청년들을 위한 전문 교육 및 제작 지원,"정책명: 울산웹툰캠퍼스 운영
내용: 웹툰 작가 등단을 위한 작품 제작 지원, 교육 및 멘토링",울산 지역 웹툰 작가 지망생과 청년들을 위한 전문 교육 및 제작 지원
71,20241104005400200014,복지문화,청년다락 2호점 정책상담 운영,350,1:1 맞춤형 정책 상담 및 단계별 지원금 최대 60만원 혜택,제주 청년들에게 맞춤형 정책 정보를 제공하고 상담 참여 시 지원금 지급,"정책명: 청년다락 2호점 정책상담 운영
내용: 1:1 맞춤형 정책 상담 및 단계별 지원금 최대 60만원 혜택",제주 청년들에게 맞춤형 정책 정보를 제공하고 상담 참여 시 지원금 지급
72,20250509005400210802,일자리,청년친화 강소기업 선정 지원사업,287,"기업 컨설팅 및 근무환경개선금 최대 1,000만원 등 지원",울산 내 기업들의 고용 질 향상을 돕고 청년친화 기업 문화를 조성 지원,"정책명: 청년친화 강소기업 선정 지원사업
내용: 기업 컨설팅 및 근무환경개선금 최대 1,000만원 등 지원",울산 내 기업들의 고용 질 향상을 돕고 청년친화 기업 문화를 조성 지원
73,20250108005400210082,참여권리,부산진구 청년정책 기본계획 연구용역,180,"청년 실태 분석 및 정책 수요 조사, 중장기 전략 제안",부산진구 특성에 맞는 체계적인 청년 정책 수립을 위한 기초 조사 실시,"정책명: 부산진구 청년정책 기본계획 연구용역
내용: 청년 실태 분석 및 정책 수요 조사, 중장기 전략 제안",부산진구 특성에 맞는 체계적인 청년 정책 수립을 위한 기초 조사 실시
74,20240805005400200013,주거,청년안심주택(공공임대) 2차 모집,244,소득 기준에 따라 시중 시세의 30~70% 수준으로 임대 공급,서울 청년들을 위해 역세권 등에 저렴하게 공급되는 공공 임대 주택,"정책명: 청년안심주택(공공임대) 2차 모집
내용: 소득 기준에 따라 시중 시세의 30~70% 수준으로 임대 공급",서울 청년들을 위해 역세권 등에 저렴하게 공급되는 공공 임대 주택
75,20240513005400200009,일자리,양산시 창업투자펀드 연계 액셀러레이팅,353,"기술고도화 지원금 지급, IR 역량강화 및 투자유치 연계 지원",양산 내 신생 창업기업의 제품 고도화와 투자 유치를 위한 전문 육성,"정책명: 양산시 창업투자펀드 연계 액셀러레이팅
내용: 기술고도화 지원금 지급, IR 역량강화 및 투자유치 연계 지원",양산 내 신생 창업기업의 제품 고도화와 투자 유치를 위한 전문 육성
76,20250718005400211388,일자리,신개념 청년창업 지원 사업,154,중장년 전문가 1:1 컨설팅 및 우수 기업 마케팅비 지원,숙련된 전문가의 멘토링을 통해 청년 창업 기업의 사업화를 지원,"정책명: 신개념 청년창업 지원 사업
내용: 중장년 전문가 1:1 컨설팅 및 우수 기업 마케팅비 지원",숙련된 전문가의 멘토링을 통해 청년 창업 기업의 사업화를 지원
77,20250114005400210237,일자리,영도구 대학생 행정체험 연수사업,366,구청 및 관내 기관 행정 업무 체험 및 취업 역량 강화 프로그램,영도구 거주 대학생들에게 공직 체험 기회와 연수 수당 제공,"정책명: 영도구 대학생 행정체험 연수사업
내용: 구청 및 관내 기관 행정 업무 체험 및 취업 역량 강화 프로그램",영도구 거주 대학생들에게 공직 체험 기회와 연수 수당 제공
78,20240701005400200004,일자리,하계 시정참여 2기 대학생 모집 (하남시),516,"1일 6시간 근무, 생활임금(10,850원) 적용 보상금 지급",하남시 대학생들이 시정에 참여하며 공공기관 실무를 익히는 알바 사업,"정책명: 하계 시정참여 2기 대학생 모집 (하남시)
내용: 1일 6시간 근무, 생활임금(10,850원) 적용 보상금 지급",하남시 대학생들이 시정에 참여하며 공공기관 실무를 익히는 알바 사업
79,20240527005400200008,일자리,청년도전지원사업 젊핑 도전+,171,25주 프로그램 이수 시 최대 300만원 지급 (성공수당 포함),구직 단념 청년의 사회 복귀를 돕고 장기 교육 참여 시 수당 지원,"정책명: 청년도전지원사업 젊핑 도전+
내용: 25주 프로그램 이수 시 최대 300만원 지급 (성공수당 포함)",구직 단념 청년의 사회 복귀를 돕고 장기 교육 참여 시 수당 지원
80,20240119005400100001,"일자리, 복지",2024 청춘만발 참여 예술인 모집,595,"공연장 무대 제공, 창작지원금 및 우수팀 최대 1,000만원 지원",신진 국악 예술인들을 발굴하여 공연 기회와 창작 지원금 제공,"정책명: 2024 청춘만발 참여 예술인 모집
내용: 공연장 무대 제공, 창작지원금 및 우수팀 최대 1,000만원 지원",신진 국악 예술인들을 발굴하여 공연 기회와 창작 지원금 제공
81,20240417005400200013,주거,김해시 청년 월세 지원 사업,191,월 최대 15만원씩 10개월간 지원 (연 최대 150만원),김해 거주 청년들의 주거비 부담 완화를 위해 월세 일부를 지원,"정책명: 김해시 청년 월세 지원 사업
내용: 월 최대 15만원씩 10개월간 지원 (연 최대 150만원)",김해 거주 청년들의 주거비 부담 완화를 위해 월세 일부를 지원
82,20251203005400211948,주거,남해군 청년주택 임차보증금 이자 지원,172,"대출잔액 5,000만원 한도 내 이자 3% 지원 (최대 150만원)",남해군 청년 가구의 대출 이자 상환 부담을 덜어주는 주거 지원,"정책명: 남해군 청년주택 임차보증금 이자 지원
내용: 대출잔액 5,000만원 한도 내 이자 3% 지원 (최대 150만원)",남해군 청년 가구의 대출 이자 상환 부담을 덜어주는 주거 지원
83,20240118005400200011,복지문화,청년마음건강지원사업 (수원시),788,3개월간 총 10회 전문 심리상담 서비스 제공 (자부담 10% 이내),심리적 어려움을 겪는 청년에게 바우처를 통해 전문 상담 기회 제공,"정책명: 청년마음건강지원사업 (수원시)
내용: 3개월간 총 10회 전문 심리상담 서비스 제공 (자부담 10% 이내)",심리적 어려움을 겪는 청년에게 바우처를 통해 전문 상담 기회 제공
84,20250903005400111595,주거,청년 신혼부부 월세 지원사업,231,연소득 구간별 차등하여 월 최대 30만원(2년) 지원,소득이 낮은 신혼부부에게 실질적인 월세 비용을 보조하는 사업,"정책명: 청년 신혼부부 월세 지원사업
내용: 연소득 구간별 차등하여 월 최대 30만원(2년) 지원",소득이 낮은 신혼부부에게 실질적인 월세 비용을 보조하는 사업
85,20240318005400200006,일자리,청년 채용 ZONE 구직청년 모집,183,"기업 정보 제공, 현장 면접 등 구인 기업-구직 청년 직접 매칭",하남시 청년 선호 기업과 구직자를 연결하는 소규모 채용 설명회,"정책명: 청년 채용 ZONE 구직청년 모집
내용: 기업 정보 제공, 현장 면접 등 구인 기업-구직 청년 직접 매칭",하남시 청년 선호 기업과 구직자를 연결하는 소규모 채용 설명회
86,20240422005400200020,일자리,창원시 청년 자격증 응시료 지원,232,"국가기술자격, 어학, 한국사 시험 응시료 실비(최대 10만원) 지원",취업 준비 중인 창원 청년들의 경제적 부담을 덜어주는 응시료 지원,"정책명: 창원시 청년 자격증 응시료 지원
내용: 국가기술자격, 어학, 한국사 시험 응시료 실비(최대 10만원) 지원",취업 준비 중인 창원 청년들의 경제적 부담을 덜어주는 응시료 지원
87,20241021005400200017,"일자리, 교육",스마트팩토리 전문가 양성 과정,507,6개월간 SW개발 교육 및 산학 프로젝트 실습 지원,스마트팩토리 분야 전문 개발자를 육성하는 집중 취업 교육 프로그램,"정책명: 스마트팩토리 전문가 양성 과정
내용: 6개월간 SW개발 교육 및 산학 프로젝트 실습 지원",스마트팩토리 분야 전문 개발자를 육성하는 집중 취업 교육 프로그램
88,20250123005400110400,일자리,청년취업ON,175,"경영, 영업, IT 직무별 구직기술 강화 컨설팅 운영",직무 중심 채용 트렌드에 맞춰 개인의 강점을 찾아주는 취업 컨설팅,"정책명: 청년취업ON
내용: 경영, 영업, IT 직무별 구직기술 강화 컨설팅 운영",직무 중심 채용 트렌드에 맞춰 개인의 강점을 찾아주는 취업 컨설팅
89,20250904005400211651,일자리,꿈이음 청춘카페 지원사업,147,카페 이용 음료 포인트 10만점 및 취·창업 프로그램 제공,지역 카페를 활용해 청년들에게 휴식 공간과 취업 지원 정보를 제공,"정책명: 꿈이음 청춘카페 지원사업
내용: 카페 이용 음료 포인트 10만점 및 취·창업 프로그램 제공",지역 카페를 활용해 청년들에게 휴식 공간과 취업 지원 정보를 제공
90,20240925005400100001,교육,ESG 교육 및 컨설팅 참여자 모집,336,"ESG 경영 및 창업 교육, 맞춤형 컨설팅 지원",지속가능한 비즈니스를 준비하는 예비 창업자 대상 ESG 전문 교육,"정책명: ESG 교육 및 컨설팅 참여자 모집
내용: ESG 경영 및 창업 교육, 맞춤형 컨설팅 지원",지속가능한 비즈니스를 준비하는 예비 창업자 대상 ESG 전문 교육
91,20240119005400200004,일자리,화순군 청년 자격증 응시료 지원,294,"연 최대 2회, 10만원 한도 내 어학 및 자격증 응시료 지원",화순 청년들의 자기계발 및 취업 경쟁력 강화를 위한 비용 지원,"정책명: 화순군 청년 자격증 응시료 지원
내용: 연 최대 2회, 10만원 한도 내 어학 및 자격증 응시료 지원",화순 청년들의 자기계발 및 취업 경쟁력 강화를 위한 비용 지원
92,20240129005400200001,일자리,청년 자격증시험 응시료 지원 사업,539,"어학(17종), 국가기술(545종) 등 1인 연 1회 10만원 한도 지원",공공기관 및 대기업 취업 필수 자격증 응시 비용을 지원하는 사업,"정책명: 청년 자격증시험 응시료 지원 사업
내용: 어학(17종), 국가기술(545종) 등 1인 연 1회 10만원 한도 지원",공공기관 및 대기업 취업 필수 자격증 응시 비용을 지원하는 사업
93,20240806005400100002,참여권리,제2차 청년토론 참여자 모집,189,통일 국제협력 관련 분임 토론 참여 및 기념품(5만원) 증정,통일과 외교 정책에 대해 청년들의 시각으로 논의하는 토론장 마련,"정책명: 제2차 청년토론 참여자 모집
내용: 통일 국제협력 관련 분임 토론 참여 및 기념품(5만원) 증정",통일과 외교 정책에 대해 청년들의 시각으로 논의하는 토론장 마련
94,20250714005400111213,주거,달동 청년희망주택 건립,229,청년희망주택 26호 및 공유오피스 3호 건립 사업,울산 남구 달동에 청년 주거와 업무 공간을 결합한 주택 조성,"정책명: 달동 청년희망주택 건립
내용: 청년희망주택 26호 및 공유오피스 3호 건립 사업",울산 남구 달동에 청년 주거와 업무 공간을 결합한 주택 조성
95,20240516005400200005,일자리,청년성장프로젝트(청년카페 운영),567,"맞춤형 프로그램(20시간), 심리상담(최대 10회) 등 제공",구직 단념 예방을 위해 심리 상담과 취업 정책을 촘촘히 연계 지원,"정책명: 청년성장프로젝트(청년카페 운영)
내용: 맞춤형 프로그램(20시간), 심리상담(최대 10회) 등 제공",구직 단념 예방을 위해 심리 상담과 취업 정책을 촘촘히 연계 지원
96,20241104005400100001,주거,LH 든든전세주택 입주자 모집,217,시중 임대료의 90% 이하로 최장 8년 거주 가능한 주택 공급,무주택 청년·가구가 안심하고 살 수 있는 전세형 공공 임대 주택,"정책명: LH 든든전세주택 입주자 모집
내용: 시중 임대료의 90% 이하로 최장 8년 거주 가능한 주택 공급",무주택 청년·가구가 안심하고 살 수 있는 전세형 공공 임대 주택
97,20241021005400200002,일자리,면접 합격 이미지메이킹 교육,313,"호감 가는 이미지 전략, 보이스 전략, 1분 자기소개 연출법 교육",화성 청년들의 면접 성공률을 높이기 위한 전문 코칭 프로그램,"정책명: 면접 합격 이미지메이킹 교육
내용: 호감 가는 이미지 전략, 보이스 전략, 1분 자기소개 연출법 교육",화성 청년들의 면접 성공률을 높이기 위한 전문 코칭 프로그램
98,20240507005400200018,일자리,남해군 귀농귀촌 아카데미,305,"재배 기술 교육, 농촌 생활 융화 교육 및 원예 수업 진행",남해로의 귀농·귀촌을 희망하는 청년들에게 실습과 정착 정보 제공,"정책명: 남해군 귀농귀촌 아카데미
내용: 재배 기술 교육, 농촌 생활 융화 교육 및 원예 수업 진행",남해로의 귀농·귀촌을 희망하는 청년들에게 실습과 정착 정보 제공
99,20240709005400200001,일자리,부산 국제기구 진출설명회,181,"국제기구 합동 채용 설명회, 모의 면접, 이미지 컨설팅 지원",글로벌 무대 진출을 꿈꾸는 부산 청년들을 위한 전문 채용 행사,"정책명: 부산 국제기구 진출설명회
내용: 국제기구 합동 채용 설명회, 모의 면접, 이미지 컨설팅 지원",글로벌 무대 진출을 꿈꾸는 부산 청년들을 위한 전문 채용 행사
100,20250428005400210727,일자리,자격증 취득 지원(광주 남구),525,"미취업 청년 대상 연 2회, 최대 20만원 한도 응시료 지원",광주 남구 거주 청년들에게 자격증 및 어학 시험 비용을 선착순 지원,"정책명: 자격증 취득 지원(광주 남구)
내용: 미취업 청년 대상 연 2회, 최대 20만원 한도 응시료 지원",광주 남구 거주 청년들에게 자격증 및 어학 시험 비용을 선착순 지원
101,20240926005400200014,복지문화,(재)화순장학회 장학금,206,"화순군 중·고·대학생 대상 장학금 지원 (중 50만, 고 100만, 대 최대 200만)",화순군 거주 학생 및 대학생에게 학업 장려를 위한 장학금 지급,"정책명: (재)화순장학회 장학금
내용: 화순군 중·고·대학생 대상 장학금 지원 (중 50만, 고 100만, 대 최대 200만)",화순군 거주 학생 및 대학생에게 학업 장려를 위한 장학금 지급
102,20240514005400200006,일자리,울산 꿈틀 라운지 운영,202,"취·창업 커뮤니티 공간 제공, 네트워킹 및 멘토링 공간 지원",울산 일자리종합센터 내 청년들의 취·창업 활동을 위한 커뮤니티 공간 운영,"정책명: 울산 꿈틀 라운지 운영
내용: 취·창업 커뮤니티 공간 제공, 네트워킹 및 멘토링 공간 지원",울산 일자리종합센터 내 청년들의 취·창업 활동을 위한 커뮤니티 공간 운영
103,20250315005400210612,일자리,취업날개 서비스 지원,491,구직용 면접 정장 무료 대여 (1인 연간 최대 10회),서울 거주 청년 구직자에게 면접용 정장을 무료로 대여하여 취업 비용 절감 지원,"정책명: 취업날개 서비스 지원
내용: 구직용 면접 정장 무료 대여 (1인 연간 최대 10회)",서울 거주 청년 구직자에게 면접용 정장을 무료로 대여하여 취업 비용 절감 지원
104,20240424005400200016,일자리,남해군 드론자격증 취득 지원,288,"드론 자격증(1, 2종) 취득을 위한 교육비 실비 지원",남해 청년들의 전문 역량 강화를 위해 드론 자격증 취득 교육비를 지원,"정책명: 남해군 드론자격증 취득 지원
내용: 드론 자격증(1, 2종) 취득을 위한 교육비 실비 지원",남해 청년들의 전문 역량 강화를 위해 드론 자격증 취득 교육비를 지원
105,20240423005400200040,복지문화,고립청년 마음돌봄 심리상담(대구),390,고립청년 대상 1:1 심화 심리상담 5회기 무료 제공,대구 내 고립감을 느끼는 청년들에게 전문적인 심리 상담을 무료로 지원,"정책명: 고립청년 마음돌봄 심리상담(대구)
내용: 고립청년 대상 1:1 심화 심리상담 5회기 무료 제공",대구 내 고립감을 느끼는 청년들에게 전문적인 심리 상담을 무료로 지원
106,20240926005400200022,복지문화,[공유물품] 고프로·미니빔 대여,188,"고프로 히어로9 세트 및 미니빔, 스크린 등 공유 물품 대여 서비스",청년 활동에 필요한 고가의 영상 및 영상 기기를 저렴하게 대여 지원,"정책명: [공유물품] 고프로·미니빔 대여
내용: 고프로 히어로9 세트 및 미니빔, 스크린 등 공유 물품 대여 서비스",청년 활동에 필요한 고가의 영상 및 영상 기기를 저렴하게 대여 지원
107,20241029005400200021,참여권리,블록체인 진흥주간 취업컨설팅,270,"1:1 자소서 컨설팅, 1:5 모의면접 및 구독권 증정 이벤트",블록체인/웹3.0 분야 진출 희망 청년 대상 전문 취업 컨설팅 제공,"정책명: 블록체인 진흥주간 취업컨설팅
내용: 1:1 자소서 컨설팅, 1:5 모의면접 및 구독권 증정 이벤트",블록체인/웹3.0 분야 진출 희망 청년 대상 전문 취업 컨설팅 제공
108,20240422005400200018,일자리,현직자 직무 강의(수원시),177,"반도체 엔지니어(CS, 공정) 현직자의 업무 소개 및 취업 정보 공유",수원 청년들에게 반도체 산업 현직자의 실무 지식과 취업 노하우 전달,"정책명: 현직자 직무 강의(수원시)
내용: 반도체 엔지니어(CS, 공정) 현직자의 업무 소개 및 취업 정보 공유",수원 청년들에게 반도체 산업 현직자의 실무 지식과 취업 노하우 전달
109,20240424005400200012,일자리,고성군 이커머스 및 스마트스토어 교육,301,"스마트스토어 개설, 상세페이지 제작, 마케팅 등 총 10회 교육",고성군 청년들의 온라인 창업 및 판매 역량을 강화하는 실무 교육 지원,"정책명: 고성군 이커머스 및 스마트스토어 교육
내용: 스마트스토어 개설, 상세페이지 제작, 마케팅 등 총 10회 교육",고성군 청년들의 온라인 창업 및 판매 역량을 강화하는 실무 교육 지원
110,20241014005400200005,"일자리, 교육",내일(JOB)을 더 새롭게 참여자 모집,190,"AI 시대 채용 변화 특강, 구직 정보 활용 및 자신감 회복 교육",의정부 청년들의 구직 의욕을 고취하고 최신 채용 트렌드 정보를 제공,"정책명: 내일(JOB)을 더 새롭게 참여자 모집
내용: AI 시대 채용 변화 특강, 구직 정보 활용 및 자신감 회복 교육",의정부 청년들의 구직 의욕을 고취하고 최신 채용 트렌드 정보를 제공
111,20240116005400200045,참여권리,하동군 청년동아리 지원사업,348,"청년 동아리 활동을 위한 홍보비, 강사비, 재료비 등 사업비 지원",하동 청년들의 자율적인 커뮤니티 활동을 장려하기 위한 활동비 지원,"정책명: 하동군 청년동아리 지원사업
내용: 청년 동아리 활동을 위한 홍보비, 강사비, 재료비 등 사업비 지원",하동 청년들의 자율적인 커뮤니티 활동을 장려하기 위한 활동비 지원
112,20250909005400211684,일자리,구미 취업준비프리패스(취준PASS),562,"면접정장, 사진, 서적, 교통비(연 15만) 및 자격증 응시료(연 10만) 지원",구미 청년들의 취업 준비에 필요한 전방위적인 비용을 패키지로 지원,"정책명: 구미 취업준비프리패스(취준PASS)
내용: 면접정장, 사진, 서적, 교통비(연 15만) 및 자격증 응시료(연 10만) 지원",구미 청년들의 취업 준비에 필요한 전방위적인 비용을 패키지로 지원
113,20240214005400100001,"일자리, 교육",한미 첨단분야 청년교류 지원사업,290,미국 파견 교환학생 장학금(최대 $1.8만) 및 첨단산업 프로그램 지원,이공계 청년들의 글로벌 역량 강화를 위해 미국 체류 및 교육비 지원,"정책명: 한미 첨단분야 청년교류 지원사업
내용: 미국 파견 교환학생 장학금(최대 $1.8만) 및 첨단산업 프로그램 지원",이공계 청년들의 글로벌 역량 강화를 위해 미국 체류 및 교육비 지원
114,20240429005400200003,일자리,김해시 청년구직활동수당(드림카드),495,"월 50만원씩 4개월 지원(총 200만), 취업성공금 50만 추가 지원","김해 미취업 청년의 구직 활동 비용(교육, 식비 등)을 카드로 지원","정책명: 김해시 청년구직활동수당(드림카드)
내용: 월 50만원씩 4개월 지원(총 200만), 취업성공금 50만 추가 지원","김해 미취업 청년의 구직 활동 비용(교육, 식비 등)을 카드로 지원"
115,20250718005400211453,복지문화,자립준비청년 자립정착금 지원,243,"보호 종료 아동에게 1인당 1,000만원의 자립 정착금 지급",시설 등에서 보호가 종료된 청년의 초기 사회 안착을 위한 장착금 지원,"정책명: 자립준비청년 자립정착금 지원
내용: 보호 종료 아동에게 1인당 1,000만원의 자립 정착금 지급",시설 등에서 보호가 종료된 청년의 초기 사회 안착을 위한 장착금 지원
116,20250902005400211588,복지문화,청년 지역정착 통합 플랫폼 구축,290,"의성 살아보기, 청년 동아리, 창업 컨설팅 등 지역 정착 프로그램",의성군 내외 청년들의 유입과 교류를 위한 다양한 역량 강화 교육 운영,"정책명: 청년 지역정착 통합 플랫폼 구축
내용: 의성 살아보기, 청년 동아리, 창업 컨설팅 등 지역 정착 프로그램",의성군 내외 청년들의 유입과 교류를 위한 다양한 역량 강화 교육 운영
117,20240723005400200013,일자리,울산 북구 맞춤형 청년 일자리 창출,397,"전기차 정비, 시트 제작 실무 교육 및 창업 초기 사업비 지원",울산 북구 주력 산업에 맞춘 전문 인력 양성 및 창업 활성화 지원,"정책명: 울산 북구 맞춤형 청년 일자리 창출
내용: 전기차 정비, 시트 제작 실무 교육 및 창업 초기 사업비 지원",울산 북구 주력 산업에 맞춘 전문 인력 양성 및 창업 활성화 지원
118,20240731005400200009,일자리,분당야탑수련관 청년창업팀 모집,181,"창업 공간, 지원금(팀당 200만), 전문 교육 및 네트워킹 지원",성남시 청년 예비 창업자들에게 활동 공간과 초기 자금을 지원,"정책명: 분당야탑수련관 청년창업팀 모집
내용: 창업 공간, 지원금(팀당 200만), 전문 교육 및 네트워킹 지원",성남시 청년 예비 창업자들에게 활동 공간과 초기 자금을 지원
119,20250908005400211676,일자리,세종시 청년기업 맞춤형디자인 지원,506,"브랜드, 상품포장 등 디자인 개발 컨설팅 및 제작 지원",세종시 청년 창업가의 제품 경쟁력을 높이기 위한 디자인 고도화 지원,"정책명: 세종시 청년기업 맞춤형디자인 지원
내용: 브랜드, 상품포장 등 디자인 개발 컨설팅 및 제작 지원",세종시 청년 창업가의 제품 경쟁력을 높이기 위한 디자인 고도화 지원
120,20240502005400200005,일자리,거창군 신규농업인 현장실습교육,224,월 160시간 현장 실습 시 교육훈련비 월 80만원 지원,거창군 초보 농업인(청년 등)에게 베테랑 농가에서의 실습과 수당 지원,"정책명: 거창군 신규농업인 현장실습교육
내용: 월 160시간 현장 실습 시 교육훈련비 월 80만원 지원",거창군 초보 농업인(청년 등)에게 베테랑 농가에서의 실습과 수당 지원
121,20240130005400200008,일자리,중구 청년 자격증 응시료 지원,338,국가기술/어학시험 등 응시료 1인 연 1회 최대 10만원 지원,서울 중구 거주 청년들의 구직 역량 개발을 위한 시험 응시료 실비 보조,"정책명: 중구 청년 자격증 응시료 지원
내용: 국가기술/어학시험 등 응시료 1인 연 1회 최대 10만원 지원",서울 중구 거주 청년들의 구직 역량 개발을 위한 시험 응시료 실비 보조
122,20240219005400200010,주거,인천시 청년월세 지원사업(서구),271,월 최대 20만원씩 12개월간 월세 현금 지원,인천 서구 저소득 청년 가구의 주거비 부담 경감을 위한 월세 지원,"정책명: 인천시 청년월세 지원사업(서구)
내용: 월 최대 20만원씩 12개월간 월세 현금 지원",인천 서구 저소득 청년 가구의 주거비 부담 경감을 위한 월세 지원
123,20240926005400200005,교육,원주시 장애인 평생교육 바우처 지원,178,19세 이상 등록 장애인에게 연 35만원 평생교육 수강료 지원,원주시 장애인 청년 및 성인의 학습권 보장을 위한 바우처 제공,"정책명: 원주시 장애인 평생교육 바우처 지원
내용: 19세 이상 등록 장애인에게 연 35만원 평생교육 수강료 지원",원주시 장애인 청년 및 성인의 학습권 보장을 위한 바우처 제공
124,20240723005400200011,일자리,울산 북구 중소기업 기술혁신 지원,238,"시제품 제작, 제품 고급화, 특허/인증 지원 (기업당 차등 지원)",울산 북구 소재 중소기업의 기술 고도화와 경쟁력 강화를 위한 사업 보조,"정책명: 울산 북구 중소기업 기술혁신 지원
내용: 시제품 제작, 제품 고급화, 특허/인증 지원 (기업당 차등 지원)",울산 북구 소재 중소기업의 기술 고도화와 경쟁력 강화를 위한 사업 보조
125,20240130005400200009,주거,청년맞춤형 주택임차보증금 이자지원,393,최대 1억원 한도 보증금 대출 및 연 2% 이자 지원 (최장 4년),광주 지역 청년들의 전·월세 보증금 대출 이자 부담을 덜어주는 지원,"정책명: 청년맞춤형 주택임차보증금 이자지원
내용: 최대 1억원 한도 보증금 대출 및 연 2% 이자 지원 (최장 4년)",광주 지역 청년들의 전·월세 보증금 대출 이자 부담을 덜어주는 지원
126,20241029005400200018,복지문화,동네친구 만들기 2기,261,20~30대 연령별 커뮤니티 데이 운영 및 네트워킹 활동 (무료),평택 청년들이 서로 소통하고 네트워크를 형성할 수 있는 교류 행사 지원,"정책명: 동네친구 만들기 2기
내용: 20~30대 연령별 커뮤니티 데이 운영 및 네트워킹 활동 (무료)",평택 청년들이 서로 소통하고 네트워크를 형성할 수 있는 교류 행사 지원
127,20250714005400111219,주거,청년 주거급여 분리지급,298,부모와 따로 사는 미혼 청년에게 월 최대 35.2만원 주거급여 지급,저소득 수급 가구 내 청년의 주거 자립을 돕기 위해 임차료 별도 지원,"정책명: 청년 주거급여 분리지급
내용: 부모와 따로 사는 미혼 청년에게 월 최대 35.2만원 주거급여 지급",저소득 수급 가구 내 청년의 주거 자립을 돕기 위해 임차료 별도 지원
128,20250716005400211317,참여권리,장수군 청년동아리 지원사업,348,5인 이상 청년 동아리 대상 활동비 및 사업비 지원,"장수군 청년들의 문화, 지역연구 등 다양한 커뮤니티 활동 예산 지원","정책명: 장수군 청년동아리 지원사업
내용: 5인 이상 청년 동아리 대상 활동비 및 사업비 지원","장수군 청년들의 문화, 지역연구 등 다양한 커뮤니티 활동 예산 지원"
129,20251121005400211917,복지문화,양산시 출산가정 산후조리비용 지원,174,양산 거주 출산 가정에 1회당 산후조리비 50만원 현금 지원,출산 직후 청년 부모들의 경제적 부담 완화와 산후 회복을 위한 지원,"정책명: 양산시 출산가정 산후조리비용 지원
내용: 양산 거주 출산 가정에 1회당 산후조리비 50만원 현금 지원",출산 직후 청년 부모들의 경제적 부담 완화와 산후 회복을 위한 지원
130,20241021005400200031,참여권리,울산청년 창업아이디어 공모전,354,우수 아이디어 시상(최대 150만) 및 차기 사업 참여 가점 부여,울산 청년들의 참신한 창업 아이템을 발굴하고 시상하는 공모 이벤트,"정책명: 울산청년 창업아이디어 공모전
내용: 우수 아이디어 시상(최대 150만) 및 차기 사업 참여 가점 부여",울산 청년들의 참신한 창업 아이템을 발굴하고 시상하는 공모 이벤트
131,20240321005400200003,일자리,청년도전지원사업(남양주시),429,기간별(5~25주) 맞춤 프로그램 제공 및 참여수당 최대 250만 지급,구직 단념 청년의 사회 참여를 독려하고 단계별 수당 및 인센티브 지원,"정책명: 청년도전지원사업(남양주시)
내용: 기간별(5~25주) 맞춤 프로그램 제공 및 참여수당 최대 250만 지급",구직 단념 청년의 사회 참여를 독려하고 단계별 수당 및 인센티브 지원
132,20250716005400211320,"일자리, 교육",전북대학교 계약학과 운영,165,농생명 분야 산업체 재직자 대상 현장 맞춤형 재교육 과정 운영,지역 전략 산업 종사 청년들의 전문성을 높이기 위한 학위 과정 지원,"정책명: 전북대학교 계약학과 운영
내용: 농생명 분야 산업체 재직자 대상 현장 맞춤형 재교육 과정 운영",지역 전략 산업 종사 청년들의 전문성을 높이기 위한 학위 과정 지원
133,20250110005400210146,복지문화,청년센터 서구1939,192,"청년 전용 공간 대관, 프로그램 운영 및 청년의 날 기념 행사 진행",인천 서구 청년들을 위한 복합 문화 공간 제공 및 다양한 정책 홍보,"정책명: 청년센터 서구1939
내용: 청년 전용 공간 대관, 프로그램 운영 및 청년의 날 기념 행사 진행",인천 서구 청년들을 위한 복합 문화 공간 제공 및 다양한 정책 홍보
134,20240808005400200009,기타,경북 학자금 대출 신용회복 지원,190,신용유의자 대상 분할상환 약정 초입금(최대 100만) 지원,학자금 대출로 인한 신용 불량 상태의 청년들이 다시 재기하도록 돕는 지원,"정책명: 경북 학자금 대출 신용회복 지원
내용: 신용유의자 대상 분할상환 약정 초입금(최대 100만) 지원",학자금 대출로 인한 신용 불량 상태의 청년들이 다시 재기하도록 돕는 지원
135,20241004005400200014,참여권리,전북청년 로컬 인 캠프 정읍,336,"정읍 로컬 체험, 창업 부스 운영 및 청년 네트워킹 캠프 개최",지역 활동가와 청년들이 정읍에서 농촌 문화를 체험하고 소통하는 캠프,"정책명: 전북청년 로컬 인 캠프 정읍
내용: 정읍 로컬 체험, 창업 부스 운영 및 청년 네트워킹 캠프 개최",지역 활동가와 청년들이 정읍에서 농촌 문화를 체험하고 소통하는 캠프
136,20250109005400110118,일자리,고교생 맞춤형 고용서비스,292,"고교 졸업 예정자 대상 진로 상담, 직업 설계 및 이력서 클리닉 지원",취업을 희망하는 고등학생에게 체계적인 진로 설정과 구직 기술 교육 지원,"정책명: 고교생 맞춤형 고용서비스
내용: 고교 졸업 예정자 대상 진로 상담, 직업 설계 및 이력서 클리닉 지원",취업을 희망하는 고등학생에게 체계적인 진로 설정과 구직 기술 교육 지원
